open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,changeVl
27.8,28.22,27.35,27.0,170660.12,-0.44,-1.58,27.44,26.765,26.484,220528.36,203051.72,206976.96,4.27,-1
27.49,27.88,27.79,27.04,157664.69,0.51,1.87,26.952,26.625,26.305,214352.17,201779.99,210644.2,3.95,1
27.58,28.1,27.28,27.11,229023.39,-0.98,-3.47,26.63,26.535,26.167,225693.6,202865.7,211476.52,5.73,-1
26.52,29.01,28.26,26.52,379796.5,1.74,6.56,26.72,26.48,26.084,252358.18,191481.98,212995.67,9.51,1
24.87,26.66,26.52,24.85,165497.09,1.61,6.46,26.246,26.349,25.879,196699.1,171159.43,203831.34,4.14,1
25.78,26.16,24.91,24.67,139779.2,-1.27,-4.85,26.09,26.443,25.706,185575.07,184702.18,200104.09,3.5,-1
27.0,27.18,26.18,25.87,214371.81,-1.55,-5.59,26.298,26.661,25.635,189207.81,196528.96,199072.47,5.37,-1
26.03,28.48,27.73,25.7,362346.28,1.84,7.11,26.44,26.736,25.495,180037.81,209235.84,194833.73,9.07,1
25.66,26.08,25.89,25.35,101501.12,0.15,0.58,26.24,26.52,25.239,130605.78,201968.02,183411.57,2.54,1
25.95,26.52,25.74,25.53,109876.95,-0.21,-0.81,26.452,26.382,25.098,145619.77,207991.18,191562.46,2.75,-1
26.66,26.66,25.95,25.53,157942.91,-0.94,-3.5,26.796,26.203,25.029,183829.29,210902.21,209190.26,3.95,-1
26.58,27.76,26.89,26.33,168521.77,0.16,0.6,27.024,25.984,24.867,203850.1,219508.4,205704.82,4.22,1
26.7,27.1,26.73,26.42,115186.16,-0.22,-0.82,27.032,25.799,24.642,238433.87,220087.33,204899.57,2.88,-1
27.2,27.85,26.95,26.66,176571.05,-0.51,-1.86,26.8,25.688,24.4,273330.25,234509.37,202029.43,4.42,-1
27.18,28.55,27.46,26.31,300924.56,0.37,1.37,26.312,25.408,24.147,270362.6,236503.24,196693.28,7.53,1
26.9,27.55,27.09,26.56,258046.98,0.16,0.59,25.61,24.968,23.846,237975.12,215506.0,183694.65,6.46,1
25.5,27.47,26.93,25.32,341440.59,1.36,5.32,24.944,24.609,23.566,235166.7,201615.98,172957.06,8.55,1
24.41,26.9,25.57,24.2,289668.06,1.06,4.33,24.566,24.253,23.281,201740.8,180431.62,160218.55,7.25,1
23.51,24.88,24.51,23.38,161732.8,0.56,2.34,24.576,23.958,23.105,195688.49,164855.13,150908.43,4.05,1
23.76,24.32,23.95,23.31,138987.19,0.19,0.8,24.504,23.814,22.95,202643.87,175133.74,145571.54,3.48,1
24.45,24.45,23.76,23.3,244004.84,-1.28,-5.11,24.326,23.854,22.835,193036.87,207478.31,141090.53,6.11,-1
25.33,25.5,25.04,24.78,174311.09,-0.58,-2.26,24.274,23.749,22.732,168065.26,191901.23,130989.34,4.36,-1
24.16,25.88,25.62,23.78,259406.52,1.47,6.09,23.94,23.485,22.554,159122.44,189711.82,126717.47,6.49,1
23.25,24.6,24.15,23.21,196509.73,1.09,4.73,23.34,23.111,22.387,134021.77,169549.5,116718.92,4.92,1
23.45,23.85,23.06,23.04,90952.18,-0.44,-1.87,23.124,22.885,22.274,147623.61,156883.33,110864.84,2.28,-1
23.45,23.7,23.5,23.05,119146.78,0.13,0.56,23.382,22.723,22.24,221919.75,151883.31,112052.01,2.98,1
22.5,23.6,23.37,22.5,129597.0,0.75,3.32,23.224,22.523,22.205,215737.21,144298.14,113275.25,3.24,1
22.87,23.25,22.62,22.47,133903.14,-0.45,-1.95,23.03,22.309,22.187,220301.19,140005.48,111800.14,3.35,-1
23.9,24.06,23.07,22.85,264518.94,-1.28,-5.26,22.882,22.252,22.194,205077.23,136961.73,110195.54,6.62,-1
22.55,24.98,24.35,22.38,462432.88,1.64,7.22,22.646,22.085,22.21,166143.05,116009.34,102483.41,11.57,1
22.6,22.88,22.71,22.14,88234.07,0.31,1.38,22.064,21.816,22.178,81846.87,74702.76,87736.24,2.21,1
21.75,22.98,22.4,21.51,152416.92,0.52,2.38,21.822,21.714,22.194,72859.08,70077.44,88489.06,3.81,1
21.8,22.05,21.88,21.65,57783.36,-0.01,-0.05,21.588,21.623,22.234,59709.77,63723.13,88923.75,1.45,-1
21.37,22.07,21.89,21.35,69848.0,0.45,2.1,21.622,21.663,22.273,68846.23,63888.34,91485.69,1.75,1
21.52,21.68,21.44,21.34,40952.0,-0.06,-0.28,21.524,21.663,22.309,65875.63,64846.36,95231.54,1.02,-1
21.1,21.56,21.5,20.93,43295.1,0.27,1.27,21.568,21.757,22.3,67558.65,72220.71,97943.72,1.08,1
21.85,22.09,21.23,21.1,86670.4,-0.82,-3.72,21.606,21.886,22.274,67295.81,82252.36,104702.04,2.17,-1
21.45,22.2,22.05,21.36,103465.63,0.65,3.04,21.658,22.064,22.356,67736.48,83594.8,108566.23,2.59,1
21.62,21.62,21.4,21.23,54995.01,-0.26,-1.2,21.704,22.135,22.427,58930.45,83429.34,112174.04,1.38,-1
21.62,21.8,21.66,21.49,49367.1,-0.03,-0.14,21.802,22.335,22.547,63817.09,88957.49,122551.57,1.24,-1
21.6,21.97,21.69,21.49,41980.9,0.2,0.93,21.946,22.539,22.576,76882.78,100769.73,132964.43,1.05,1
22.1,22.27,21.49,21.44,88873.78,-0.79,-3.55,22.166,22.673,22.648,97208.92,106900.68,146038.32,2.22,-1
22.18,22.46,22.28,21.99,59435.48,0.39,1.78,22.47,22.844,22.639,99453.13,114124.37,147146.25,1.49,1
22.13,22.49,21.89,21.86,79428.17,-0.49,-2.19,22.566,22.883,22.574,107928.23,119083.05,148827.89,1.99,-1
22.65,23.18,22.38,22.3,114695.56,-0.41,-1.8,22.868,22.955,22.53,114097.89,125616.72,151033.85,2.87,-1
22.78,22.9,22.79,21.84,143611.59,-0.22,-0.96,23.132,22.843,22.45,124656.68,123666.72,154316.35,3.59,-1
22.6,23.36,23.01,22.5,100094.83,0.25,1.1,23.18,22.661,22.409,116592.45,127151.72,155849.67,2.51,1
23.39,23.39,22.76,22.63,101811.01,-0.64,-2.73,23.218,22.647,22.337,128795.61,133537.65,158236.21,2.55,-1
23.53,23.92,23.4,22.85,110276.48,-0.3,-1.27,23.2,22.718,22.286,130237.86,140918.73,160464.67,2.76,-1
23.07,24.2,23.7,22.64,167489.48,0.67,2.91,23.042,22.759,22.199,137135.54,156145.65,166607.7,4.19,1
22.8,23.79,23.03,22.63,103290.47,-0.17,-0.73,22.554,22.612,22.124,122676.77,165159.14,172661.06,2.59,-1
22.75,23.98,23.2,22.75,161110.59,0.53,2.34,22.142,22.622,22.136,137710.98,185175.95,181610.12,4.03,1
22.52,23.1,22.67,22.36,109022.27,0.06,0.27,22.076,22.433,22.143,138279.69,180168.13,195468.18,2.73,1
21.14,22.86,22.61,20.86,144764.88,1.35,6.35,22.236,22.264,22.306,151599.61,178572.74,211100.74,3.62,1
20.63,21.58,21.26,20.63,95195.62,0.29,1.38,22.476,22.104,22.354,175155.77,176450.98,214117.38,2.38,1
22.64,22.66,20.97,20.58,178461.53,-1.9,-8.31,22.67,22.056,22.495,207641.51,184965.98,228057.86,4.47,-1
23.28,24.29,22.87,22.8,163954.17,-0.6,-2.56,23.102,22.157,22.571,232640.92,184547.63,230585.56,4.1,-1
23.6,23.6,23.47,22.81,175621.84,-0.34,-1.43,22.79,22.026,22.468,222056.57,182934.76,228670.24,4.4,-1
22.26,23.95,23.81,22.26,262545.69,1.58,7.11,22.292,21.853,22.305,205545.87,180010.6,224798.65,6.57,1
22.99,24.0,22.23,21.85,257624.34,-0.9,-3.89,21.732,21.639,22.079,177746.19,177069.74,215196.38,6.45,-1
